Model,RMSE,MAE,R2
XGBoost,0.7915196823697893,0.5819013008848112,0.3688681408029305
Random Forest,0.8095877926018794,0.5954240477785023,0.33972543428344326
Ridge regression,0.8346169645375295,0.6177145221619766,0.29826832195627184
